Temperature,PH,Nitrogen,Phosphorous,Potassium,Soil,Crop,Growth_Stage,Fertilizer_Type,Fertilizer_per_acre
25.13,6.74,71,124,38,Sandy loam,Red onion,Flowering,Urea,20
26.85,5.82,103,42,150,Clay,Beetroot,Flowering,NPK 15-15-15,57
27.57,5.82,34,121,143,Clay,Radish,Vegetative,Urea,20
31.56,6.95,43,59,37,Clay,Radish,Germination,DAP,18
29.99,7.35,70,89,67,Loam,Beetroot,Flowering,NPK 15-15-15,55
26.07,6.56,48,69,71,Loam,Red onion,Germination,DAP,18
32.69,6.13,89,112,131,Sandy loam,Rice,Germination,DAP,20
32.11,6.83,141,31,59,Loam,Radish,Vegetative,Urea,24
29.18,7.03,157,77,53,Loam,Beetroot,Germination,NPK 15-15-15,35
34.72,6.89,96,68,21,Clay,Red onion,Flowering,Urea,29
25.69,5.87,66,42,100,Clay,Beetroot,Germination,NPK 15-15-15,31
35.51,5.92,91,130,27,Sandy loam,Rice,Vegetative,Urea,40
30.60,6.02,43,122,33,Clay,Red onion,Flowering,Urea,20
28.73,7.13,61,51,82,Loam,Beetroot,Vegetative,Urea,42
30.21,6.95,150,21,61,Loam,Radish,Flowering,NPK 15-15-15,34
31.90,7.21,48,59,147,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,36
24.16,6.29,22,78,146,Sandy loam,Red onion,Vegetative,NPK 15-15-15,26
35.97,5.84,28,150,24,Sandy loam,Beetroot,Flowering,NPK 15-15-15,45
32.98,6.40,24,73,148,Sandy loam,Red onion,Vegetative,NPK 15-15-15,33
35.90,6.07,74,150,86,Clay,Radish,Germination,DAP,16
34.11,6.28,72,39,67,Clay,Radish,Flowering,NPK 15-15-15,21
28.01,6.93,144,50,81,Loam,Beetroot,Flowering,NPK 15-15-15,42
33.06,6.27,73,78,95,Loam,Beetroot,Germination,NPK 15-15-15,33
33.07,7.24,61,82,109,Sandy loam,Rice,Flowering,Urea,20
33.76,7.25,31,63,89,Loam,Red onion,Flowering,Urea,25
25.67,6.90,59,76,38,Loam,Rice,Vegetative,Urea,36
34.67,6.30,37,108,100,Clay,Beetroot,Vegetative,NPK 15-15-15,45
28.54,5.96,126,85,59,Clay,Rice,Flowering,Urea,25
26.56,7.34,157,38,73,Sandy loam,Radish,Germination,DAP,19
27.84,6.02,120,48,100,Sandy loam,Red onion,Germination,DAP,22
24.80,6.33,143,145,143,Sandy loam,Radish,Flowering,NPK 15-15-15,27
26.18,6.63,117,123,88,Clay,Red onion,Vegetative,NPK 15-15-15,28
31.35,7.20,157,137,116,Loam,Rice,Germination,NPK 15-15-15,22
26.32,6.93,141,148,142,Sandy loam,Rice,Vegetative,Urea,44
33.65,7.38,140,111,95,Sandy loam,Radish,Vegetative,Urea,21
28.17,5.95,141,97,116,Sandy loam,Radish,Germination,DAP,19
24.86,6.37,95,94,20,Clay,Radish,Vegetative,Urea,27
35.09,5.83,122,111,95,Clay,Rice,Germination,NPK 15-15-15,28
27.90,7.17,99,28,83,Clay,Radish,Germination,DAP,17
27.33,7.24,100,34,145,Clay,Radish,Flowering,NPK 15-15-15,26
32.43,6.34,33,67,103,Loam,Red onion,Flowering,Urea,26
31.90,6.36,111,86,112,Clay,Red onion,Germination,DAP,17
27.99,6.01,87,76,95,Clay,Rice,Germination,DAP,21
31.64,6.72,160,123,54,Clay,Beetroot,Flowering,NPK 15-15-15,59
32.97,7.35,110,153,139,Loam,Red onion,Vegetative,NPK 15-15-15,33
33.30,7.34,103,91,24,Clay,Red onion,Germination,DAP,18
28.36,6.14,67,57,124,Loam,Rice,Germination,DAP,29
29.11,6.89,82,143,98,Clay,Beetroot,Flowering,NPK 15-15-15,54
31.21,5.86,78,137,139,Clay,Red onion,Vegetative,NPK 15-15-15,35
24.74,6.13,112,44,61,Clay,Beetroot,Vegetative,NPK 15-15-15,41
27.90,5.96,123,83,79,Sandy loam,Red onion,Flowering,Urea,24
24.99,6.05,141,72,89,Loam,Red onion,Flowering,Urea,22
30.66,7.15,61,48,32,Loam,Radish,Flowering,NPK 15-15-15,35
31.30,6.76,101,76,26,Sandy loam,Rice,Vegetative,Urea,44
30.97,5.88,111,141,148,Loam,Rice,Germination,DAP,22
33.32,6.12,107,45,132,Clay,Radish,Vegetative,Urea,29
29.14,6.45,131,49,126,Sandy loam,Beetroot,Germination,NPK 15-15-15,26
33.04,7.32,41,127,95,Loam,Radish,Vegetative,Urea,25
27.34,7.12,150,48,130,Clay,Rice,Flowering,Urea,28
27.87,7.07,64,117,159,Clay,Red onion,Vegetative,NPK 15-15-15,31
26.76,6.51,40,37,65,Clay,Beetroot,Vegetative,NPK 15-15-15,37
25.62,6.12,63,139,43,Sandy loam,Rice,Flowering,Urea,35
35.30,7.23,107,33,113,Sandy loam,Beetroot,Flowering,NPK 15-15-15,57
28.19,5.99,52,123,43,Sandy loam,Rice,Germination,NPK 15-15-15,23
29.11,6.92,70,136,152,Sandy loam,Radish,Flowering,NPK 15-15-15,21
35.94,7.27,96,48,36,Sandy loam,Radish,Vegetative,Urea,26
25.39,6.22,151,25,103,Clay,Beetroot,Vegetative,NPK 15-15-15,38
25.19,6.33,21,126,139,Loam,Rice,Vegetative,Urea,43
29.12,5.85,102,70,144,Loam,Rice,Flowering,Urea,34
28.92,6.88,99,110,48,Clay,Beetroot,Germination,NPK 15-15-15,27
31.61,7.10,32,59,130,Loam,Beetroot,Germination,NPK 15-15-15,25
33.58,6.87,141,28,147,Sandy loam,Red onion,Vegetative,NPK 15-15-15,31
30.76,6.21,68,38,47,Sandy loam,Radish,Germination,DAP,18
26.25,6.92,126,114,54,Sandy loam,Red onion,Vegetative,NPK 15-15-15,31
35.16,6.00,118,121,55,Sandy loam,Beetroot,Germination,NPK 15-15-15,28
29.19,6.82,51,151,99,Loam,Radish,Flowering,NPK 15-15-15,25
35.21,6.10,66,82,84,Sandy loam,Beetroot,Flowering,NPK 15-15-15,56
24.32,5.90,75,59,80,Sandy loam,Radish,Flowering,NPK 15-15-15,27
27.01,6.02,35,135,92,Clay,Radish,Germination,DAP,19
26.48,7.19,98,32,155,Clay,Radish,Vegetative,Urea,25
32.46,6.19,153,158,52,Clay,Rice,Germination,DAP,24
33.08,6.44,91,36,105,Loam,Radish,Germination,DAP,20
31.86,6.55,111,51,48,Clay,Red onion,Flowering,Urea,25
29.35,5.87,126,36,58,Loam,Radish,Vegetative,Urea,29
27.92,6.85,33,110,70,Sandy loam,Radish,Flowering,NPK 15-15-15,24
27.79,6.60,123,36,126,Loam,Red onion,Flowering,Urea,22
31.46,6.60,46,49,56,Sandy loam,Rice,Flowering,Urea,26
35.95,6.81,154,67,126,Clay,Red onion,Vegetative,NPK 15-15-15,34
28.39,6.69,43,101,76,Loam,Rice,Flowering,Urea,29
33.38,5.97,139,85,60,Loam,Beetroot,Vegetative,NPK 15-15-15,53
28.17,6.68,110,135,91,Clay,Beetroot,Vegetative,NPK 15-15-15,43
32.94,6.62,141,60,44,Clay,Beetroot,Germination,NPK 15-15-15,29
31.02,6.38,149,92,91,Clay,Radish,Vegetative,Urea,25
27.86,6.43,100,131,42,Loam,Beetroot,Flowering,NPK 15-15-15,60
32.03,6.37,122,69,68,Loam,Rice,Vegetative,Urea,36
24.23,6.67,134,83,81,Clay,Rice,Vegetative,Urea,44
28.52,6.15,20,61,121,Loam,Rice,Germination,NPK 15-15-15,21
27.00,6.64,45,31,27,Clay,Radish,Vegetative,Urea,28
25.32,6.23,23,120,122,Sandy loam,Red onion,Flowering,Urea,28
32.39,5.82,116,82,130,Loam,Rice,Flowering,Urea,25
25.81,6.81,137,35,159,Loam,Radish,Flowering,NPK 15-15-15,24
29.01,7.29,96,88,147,Loam,Rice,Flowering,Urea,23
29.37,6.00,160,86,124,Sandy loam,Beetroot,Germination,NPK 15-15-15,33
34.57,6.92,159,72,23,Clay,Red onion,Flowering,Urea,28
26.07,5.94,59,29,33,Loam,Red onion,Germination,DAP,22
34.41,7.03,117,113,71,Sandy loam,Beetroot,Flowering,NPK 15-15-15,54
32.85,5.87,61,83,136,Loam,Red onion,Vegetative,NPK 15-15-15,35
34.72,6.94,30,60,115,Loam,Beetroot,Flowering,NPK 15-15-15,54
30.03,7.01,118,67,93,Clay,Beetroot,Vegetative,NPK 15-15-15,45
25.07,6.63,31,131,119,Sandy loam,Red onion,Vegetative,NPK 15-15-15,27
34.00,6.89,66,147,74,Loam,Red onion,Germination,DAP,16
29.58,6.03,70,51,38,Loam,Red onion,Germination,DAP,25
25.56,6.21,159,127,136,Clay,Radish,Vegetative,Urea,29
31.68,6.24,50,57,120,Sandy loam,Rice,Flowering,Urea,35
25.84,7.27,100,51,151,Sandy loam,Beetroot,Vegetative,Urea,37
25.62,6.11,45,75,72,Sandy loam,Radish,Germination,DAP,19
29.62,6.34,41,48,70,Sandy loam,Radish,Flowering,NPK 15-15-15,21
34.36,6.65,154,43,94,Clay,Radish,Flowering,NPK 15-15-15,34
32.17,6.06,54,113,114,Loam,Beetroot,Vegetative,NPK 15-15-15,40
34.28,6.02,27,100,44,Sandy loam,Beetroot,Flowering,NPK 15-15-15,55
31.57,5.88,84,26,34,Clay,Radish,Flowering,NPK 15-15-15,34
33.47,6.75,71,123,55,Sandy loam,Radish,Vegetative,Urea,22
30.33,6.25,52,85,100,Clay,Radish,Flowering,NPK 15-15-15,34
32.79,6.65,134,29,85,Sandy loam,Radish,Germination,DAP,18
25.35,5.89,51,144,25,Sandy loam,Red onion,Germination,DAP,16
35.99,7.37,33,38,23,Sandy loam,Red onion,Vegetative,NPK 15-15-15,25
24.80,5.86,109,92,158,Clay,Radish,Germination,DAP,18
25.39,7.19,47,117,86,Loam,Rice,Germination,DAP,28
25.82,7.23,54,25,106,Sandy loam,Beetroot,Vegetative,Urea,39
24.13,6.66,138,136,29,Sandy loam,Red onion,Vegetative,NPK 15-15-15,26
25.08,6.48,92,124,116,Loam,Radish,Germination,DAP,19
28.76,6.70,69,43,96,Loam,Beetroot,Vegetative,Urea,37
33.09,6.71,114,99,74,Sandy loam,Rice,Flowering,Urea,30
24.77,6.72,106,99,152,Loam,Red onion,Vegetative,NPK 15-15-15,26
28.96,5.92,116,158,25,Loam,Beetroot,Vegetative,NPK 15-15-15,37
24.04,6.21,46,72,144,Clay,Radish,Germination,DAP,19
25.12,6.57,66,46,57,Loam,Red onion,Germination,DAP,15
29.27,7.04,36,46,123,Loam,Radish,Vegetative,Urea,27
26.93,6.09,123,134,123,Sandy loam,Rice,Vegetative,Urea,41
26.15,6.65,49,45,102,Sandy loam,Rice,Vegetative,Urea,40
30.64,5.84,119,57,151,Sandy loam,Rice,Vegetative,Urea,42
24.01,6.49,108,28,23,Sandy loam,Beetroot,Germination,NPK 15-15-15,31
34.59,6.66,86,77,158,Sandy loam,Red onion,Flowering,Urea,25
26.18,7.24,22,139,136,Sandy loam,Radish,Vegetative,Urea,29
30.33,7.04,127,122,95,Clay,Beetroot,Vegetative,NPK 15-15-15,39
32.73,6.85,30,102,77,Clay,Radish,Flowering,NPK 15-15-15,35
32.51,6.88,66,91,41,Clay,Radish,Vegetative,Urea,21
27.93,6.01,137,144,60,Sandy loam,Beetroot,Flowering,NPK 15-15-15,58
25.53,5.84,55,53,28,Clay,Radish,Vegetative,Urea,22
26.70,6.79,42,44,91,Sandy loam,Radish,Vegetative,Urea,28
34.68,7.01,28,64,34,Clay,Rice,Vegetative,Urea,44
26.27,7.39,94,85,42,Loam,Beetroot,Germination,NPK 15-15-15,25
32.30,5.93,101,61,76,Loam,Red onion,Vegetative,NPK 15-15-15,28
27.60,7.16,107,101,34,Loam,Red onion,Flowering,Urea,27
24.48,6.67,76,54,81,Clay,Beetroot,Flowering,NPK 15-15-15,41
24.94,7.19,64,147,154,Sandy loam,Radish,Germination,DAP,18
32.14,6.02,126,118,128,Sandy loam,Rice,Germination,DAP,29
30.10,7.15,145,148,137,Sandy loam,Radish,Germination,DAP,16
24.78,6.40,78,93,61,Sandy loam,Red onion,Vegetative,NPK 15-15-15,31
31.67,5.86,100,84,49,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,42
28.18,6.50,29,75,133,Loam,Radish,Germination,DAP,18
25.81,6.87,96,36,96,Clay,Radish,Germination,DAP,18
27.94,7.27,92,78,149,Sandy loam,Beetroot,Vegetative,Urea,53
28.26,6.80,46,34,31,Sandy loam,Beetroot,Flowering,NPK 15-15-15,58
26.18,6.21,65,113,103,Sandy loam,Radish,Vegetative,Urea,24
30.73,5.93,72,117,23,Loam,Rice,Germination,NPK 15-15-15,21
34.87,6.41,51,94,86,Loam,Radish,Flowering,NPK 15-15-15,31
34.90,7.30,131,125,61,Loam,Rice,Vegetative,Urea,37
31.73,6.34,48,89,150,Sandy loam,Beetroot,Vegetative,Urea,42
24.46,6.88,60,94,156,Loam,Rice,Germination,NPK 15-15-15,21
30.95,6.73,104,77,48,Clay,Beetroot,Germination,NPK 15-15-15,25
28.46,6.08,48,99,115,Loam,Radish,Vegetative,Urea,22
35.70,5.90,131,21,74,Clay,Red onion,Flowering,Urea,20
35.96,7.26,68,51,49,Clay,Radish,Vegetative,Urea,28
24.66,6.52,89,56,75,Clay,Red onion,Flowering,Urea,26
29.88,6.04,52,90,132,Sandy loam,Radish,Flowering,NPK 15-15-15,34
29.27,6.19,155,83,40,Sandy loam,Rice,Vegetative,Urea,43
34.62,6.81,20,128,155,Sandy loam,Radish,Flowering,NPK 15-15-15,22
34.25,7.25,152,81,33,Loam,Rice,Flowering,Urea,34
31.92,5.92,101,45,129,Clay,Red onion,Flowering,Urea,21
27.63,5.85,119,85,140,Clay,Red onion,Flowering,Urea,29
28.96,6.22,72,105,148,Clay,Red onion,Flowering,Urea,23
31.20,6.22,122,138,135,Sandy loam,Radish,Vegetative,Urea,29
25.92,6.74,71,45,153,Sandy loam,Radish,Vegetative,Urea,21
29.75,6.76,137,73,50,Loam,Radish,Flowering,NPK 15-15-15,27
32.73,6.31,140,42,143,Loam,Rice,Vegetative,Urea,39
27.53,6.92,103,58,64,Loam,Beetroot,Vegetative,Urea,42
27.18,6.29,58,100,150,Sandy loam,Red onion,Flowering,Urea,21
28.72,6.28,115,150,146,Sandy loam,Red onion,Vegetative,NPK 15-15-15,27
27.44,6.80,37,128,128,Clay,Radish,Germination,DAP,17
25.41,5.92,131,79,86,Loam,Radish,Vegetative,Urea,24
24.97,6.44,132,158,57,Sandy loam,Radish,Flowering,NPK 15-15-15,35
25.28,7.22,101,97,153,Sandy loam,Red onion,Vegetative,NPK 15-15-15,29
32.27,6.63,75,34,30,Sandy loam,Rice,Vegetative,Urea,39
30.71,7.01,94,56,117,Sandy loam,Red onion,Flowering,Urea,27
27.80,6.83,142,128,59,Clay,Radish,Germination,DAP,15
26.52,6.61,119,154,61,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,40
32.24,5.84,107,73,117,Clay,Radish,Vegetative,Urea,22
26.72,7.12,22,56,44,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,45
25.27,7.01,133,146,65,Loam,Radish,Vegetative,Urea,26
31.04,7.33,50,78,121,Sandy loam,Beetroot,Vegetative,Urea,48
29.95,7.02,58,59,22,Clay,Red onion,Vegetative,NPK 15-15-15,32
35.79,5.92,26,78,23,Clay,Beetroot,Vegetative,NPK 15-15-15,39
29.49,6.66,146,33,133,Loam,Beetroot,Germination,NPK 15-15-15,34
34.71,6.30,118,59,50,Clay,Red onion,Flowering,Urea,25
27.63,6.92,45,98,97,Sandy loam,Rice,Vegetative,Urea,44
25.97,7.33,85,87,147,Sandy loam,Rice,Vegetative,Urea,38
27.48,6.68,151,32,76,Clay,Beetroot,Flowering,NPK 15-15-15,41
30.17,7.00,101,134,47,Loam,Rice,Flowering,Urea,23
28.36,6.81,62,55,41,Loam,Rice,Flowering,Urea,28
32.54,6.61,74,146,138,Sandy loam,Red onion,Vegetative,NPK 15-15-15,27
25.33,6.54,90,109,53,Sandy loam,Beetroot,Vegetative,Urea,41
30.86,6.34,86,112,152,Clay,Radish,Germination,DAP,20
29.04,7.18,78,105,121,Clay,Radish,Flowering,NPK 15-15-15,27
34.53,6.26,45,56,25,Loam,Red onion,Flowering,Urea,21
24.08,6.47,82,39,93,Loam,Beetroot,Germination,NPK 15-15-15,31
32.49,5.82,94,57,158,Loam,Beetroot,Flowering,NPK 15-15-15,57
30.07,6.61,124,31,150,Clay,Rice,Germination,DAP,22
27.47,7.13,36,108,96,Clay,Radish,Flowering,NPK 15-15-15,20
25.93,6.51,81,110,146,Loam,Red onion,Flowering,Urea,28
26.05,7.12,56,85,49,Sandy loam,Radish,Germination,DAP,19
34.99,7.09,140,21,79,Loam,Rice,Germination,NPK 15-15-15,28
35.39,6.57,93,135,134,Clay,Rice,Vegetative,Urea,37
27.55,7.23,146,53,109,Loam,Beetroot,Flowering,NPK 15-15-15,43
32.70,5.89,73,88,160,Clay,Red onion,Vegetative,NPK 15-15-15,34
24.94,6.34,83,131,109,Sandy loam,Radish,Vegetative,Urea,30
33.54,6.65,51,116,159,Clay,Rice,Vegetative,Urea,37
31.09,6.28,129,133,141,Loam,Red onion,Vegetative,NPK 15-15-15,28
27.35,6.41,91,56,76,Loam,Red onion,Germination,DAP,20
27.95,6.21,33,87,67,Clay,Beetroot,Flowering,NPK 15-15-15,57
30.19,5.84,120,63,112,Loam,Red onion,Flowering,Urea,27
28.45,7.13,81,149,101,Sandy loam,Beetroot,Vegetative,Urea,48
32.35,7.38,122,106,39,Loam,Rice,Flowering,Urea,26
28.37,7.38,126,24,111,Sandy loam,Radish,Vegetative,Urea,20
29.45,7.13,120,60,38,Sandy loam,Radish,Flowering,NPK 15-15-15,26
33.24,6.70,46,40,83,Clay,Red onion,Vegetative,NPK 15-15-15,31
30.68,6.85,64,39,53,Loam,Radish,Vegetative,Urea,22
26.90,6.67,37,39,94,Loam,Beetroot,Germination,NPK 15-15-15,27
26.17,5.91,89,31,51,Loam,Rice,Vegetative,Urea,38
29.33,7.08,95,74,27,Loam,Red onion,Flowering,Urea,22
25.15,5.88,30,31,107,Clay,Beetroot,Germination,NPK 15-15-15,27
31.01,6.49,103,100,22,Clay,Radish,Vegetative,Urea,28
25.96,7.38,75,114,51,Clay,Beetroot,Flowering,NPK 15-15-15,50
25.47,7.28,28,112,93,Sandy loam,Radish,Germination,DAP,17
25.71,6.77,29,64,25,Sandy loam,Rice,Germination,DAP,27
25.79,7.16,62,142,56,Loam,Red onion,Flowering,Urea,28
27.46,5.96,81,63,92,Loam,Rice,Vegetative,Urea,43
25.94,7.16,26,138,117,Sandy loam,Beetroot,Flowering,NPK 15-15-15,57
34.40,7.10,147,124,135,Loam,Radish,Vegetative,Urea,24
24.42,7.17,134,141,25,Loam,Red onion,Germination,DAP,23
29.22,6.88,60,142,30,Sandy loam,Radish,Germination,DAP,16
34.36,6.95,67,132,47,Sandy loam,Beetroot,Flowering,NPK 15-15-15,49
24.71,6.88,22,40,35,Clay,Rice,Germination,NPK 15-15-15,27
27.27,7.01,99,98,143,Clay,Radish,Vegetative,Urea,25
34.25,6.44,99,117,25,Clay,Rice,Vegetative,Urea,39
26.13,6.50,126,125,146,Loam,Beetroot,Germination,NPK 15-15-15,32
32.12,7.15,160,127,77,Sandy loam,Radish,Vegetative,Urea,25
34.40,6.65,87,152,79,Loam,Rice,Vegetative,Urea,37
24.32,5.97,65,71,83,Clay,Rice,Vegetative,Urea,38
33.12,7.02,110,69,154,Loam,Beetroot,Flowering,NPK 15-15-15,48
32.64,6.24,83,39,134,Clay,Beetroot,Vegetative,NPK 15-15-15,51
24.83,6.10,43,151,45,Loam,Radish,Vegetative,Urea,26
29.39,6.12,61,149,55,Clay,Red onion,Flowering,Urea,30
35.10,5.94,149,130,49,Sandy loam,Radish,Vegetative,Urea,23
32.97,7.04,137,131,79,Sandy loam,Beetroot,Vegetative,Urea,52
27.94,5.97,92,61,73,Clay,Beetroot,Germination,NPK 15-15-15,33
35.51,6.37,121,160,80,Sandy loam,Red onion,Flowering,Urea,24
35.74,6.33,24,37,140,Clay,Red onion,Vegetative,NPK 15-15-15,30
31.14,6.79,55,67,41,Loam,Radish,Vegetative,Urea,24
30.40,6.36,119,93,42,Sandy loam,Red onion,Vegetative,NPK 15-15-15,30
25.44,6.85,22,113,24,Loam,Rice,Germination,NPK 15-15-15,24
24.71,5.99,58,24,95,Loam,Rice,Flowering,Urea,22
24.33,6.25,59,48,77,Sandy loam,Radish,Vegetative,Urea,20
27.87,6.58,35,44,62,Clay,Rice,Flowering,Urea,29
25.93,5.83,61,70,55,Loam,Rice,Vegetative,Urea,43
31.77,6.47,127,121,114,Sandy loam,Rice,Germination,NPK 15-15-15,23
25.04,6.44,127,66,38,Loam,Beetroot,Flowering,NPK 15-15-15,45
27.54,6.21,149,98,66,Sandy loam,Rice,Flowering,Urea,20
35.00,7.30,48,53,73,Sandy loam,Radish,Germination,DAP,20
32.51,6.23,26,111,159,Clay,Rice,Vegetative,Urea,42
29.00,6.20,109,70,26,Sandy loam,Beetroot,Flowering,NPK 15-15-15,54
24.25,7.27,86,97,139,Sandy loam,Beetroot,Germination,NPK 15-15-15,33
24.02,6.95,96,159,92,Sandy loam,Rice,Germination,DAP,22
30.89,7.15,140,60,119,Sandy loam,Rice,Vegetative,Urea,44
24.53,6.44,107,96,117,Sandy loam,Rice,Germination,NPK 15-15-15,26
31.16,6.66,147,102,55,Sandy loam,Red onion,Germination,DAP,16
26.23,7.39,66,47,68,Sandy loam,Rice,Flowering,Urea,31
29.69,6.33,108,110,112,Loam,Radish,Flowering,NPK 15-15-15,27
29.31,7.15,52,23,70,Clay,Radish,Flowering,NPK 15-15-15,30
34.57,6.27,132,52,109,Loam,Red onion,Vegetative,NPK 15-15-15,30
30.17,6.53,111,92,160,Loam,Radish,Vegetative,Urea,23
27.14,6.08,84,82,113,Sandy loam,Beetroot,Germination,NPK 15-15-15,26
24.57,7.01,155,36,53,Loam,Radish,Vegetative,Urea,27
24.35,6.56,140,92,98,Clay,Radish,Germination,DAP,17
29.76,5.88,74,45,148,Clay,Red onion,Vegetative,NPK 15-15-15,34
26.57,6.25,74,128,97,Sandy loam,Rice,Vegetative,Urea,36
33.60,6.14,147,111,134,Loam,Beetroot,Flowering,NPK 15-15-15,54
28.11,5.95,112,47,41,Sandy loam,Rice,Vegetative,Urea,39
35.17,6.12,148,91,138,Loam,Beetroot,Germination,NPK 15-15-15,28
34.00,6.14,148,156,135,Sandy loam,Red onion,Flowering,Urea,24
31.47,7.08,124,146,77,Sandy loam,Radish,Vegetative,Urea,26
24.04,6.64,38,66,114,Clay,Radish,Vegetative,Urea,29
31.99,7.30,126,70,63,Sandy loam,Radish,Germination,DAP,19
24.34,7.20,84,125,146,Clay,Red onion,Flowering,Urea,28
32.03,7.35,33,87,110,Loam,Beetroot,Germination,NPK 15-15-15,26
28.94,6.53,156,101,116,Loam,Red onion,Germination,DAP,15
32.80,7.01,63,34,21,Sandy loam,Rice,Germination,NPK 15-15-15,22
35.62,6.04,113,125,95,Sandy loam,Red onion,Flowering,Urea,28
28.30,6.19,159,150,67,Sandy loam,Radish,Flowering,NPK 15-15-15,34
25.76,6.20,138,121,77,Sandy loam,Radish,Flowering,NPK 15-15-15,28
33.68,5.97,139,74,20,Sandy loam,Radish,Flowering,NPK 15-15-15,24
24.35,6.65,61,89,44,Sandy loam,Beetroot,Flowering,NPK 15-15-15,43
30.62,6.45,37,90,149,Sandy loam,Red onion,Germination,DAP,19
26.14,6.16,48,158,59,Sandy loam,Rice,Vegetative,Urea,37
35.69,6.00,42,129,51,Sandy loam,Beetroot,Flowering,NPK 15-15-15,54
33.23,6.16,84,71,107,Sandy loam,Red onion,Flowering,Urea,28
26.87,6.63,54,128,26,Clay,Radish,Germination,DAP,16
24.93,6.27,156,127,87,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,40
29.72,5.84,43,103,154,Sandy loam,Rice,Vegetative,Urea,43
34.19,6.18,36,45,70,Clay,Radish,Flowering,NPK 15-15-15,21
31.48,7.01,103,119,110,Sandy loam,Beetroot,Flowering,NPK 15-15-15,57
30.41,6.31,135,152,20,Loam,Radish,Germination,DAP,19
33.66,6.06,77,50,23,Loam,Radish,Flowering,NPK 15-15-15,24
32.13,6.70,154,32,115,Clay,Radish,Vegetative,Urea,27
30.19,6.02,82,134,54,Loam,Red onion,Germination,DAP,15
34.14,7.37,64,39,100,Loam,Radish,Vegetative,Urea,28
26.15,6.66,134,87,95,Sandy loam,Radish,Germination,DAP,18
35.39,7.06,129,20,120,Sandy loam,Red onion,Flowering,Urea,25
34.47,5.93,57,87,133,Loam,Beetroot,Flowering,NPK 15-15-15,53
30.30,6.79,159,153,34,Clay,Radish,Flowering,NPK 15-15-15,29
31.21,6.30,107,73,23,Loam,Rice,Germination,NPK 15-15-15,28
27.29,6.51,42,129,135,Loam,Radish,Vegetative,Urea,30
32.02,5.81,158,135,51,Loam,Radish,Germination,DAP,15
26.88,6.51,123,118,53,Clay,Rice,Flowering,Urea,24
31.40,7.19,66,131,59,Clay,Red onion,Vegetative,NPK 15-15-15,31
26.66,6.93,78,67,41,Loam,Rice,Vegetative,Urea,38
24.15,6.63,117,125,71,Loam,Rice,Germination,DAP,20
35.03,6.11,91,59,105,Sandy loam,Rice,Germination,DAP,20
32.02,6.72,21,120,148,Clay,Beetroot,Vegetative,Urea,54
29.81,7.15,29,127,132,Clay,Beetroot,Flowering,NPK 15-15-15,42
32.43,6.01,31,95,151,Clay,Beetroot,Vegetative,NPK 15-15-15,48
32.40,6.42,97,91,120,Loam,Beetroot,Vegetative,Urea,38
30.06,7.09,138,140,87,Sandy loam,Rice,Flowering,Urea,32
33.89,7.13,58,43,51,Sandy loam,Beetroot,Germination,NPK 15-15-15,29
33.53,5.84,154,49,47,Sandy loam,Red onion,Flowering,Urea,29
32.54,6.97,34,149,62,Clay,Red onion,Germination,DAP,23
35.55,6.88,81,82,126,Sandy loam,Radish,Vegetative,Urea,22
28.03,7.10,44,156,46,Clay,Red onion,Germination,DAP,21
25.48,6.26,129,112,36,Loam,Radish,Vegetative,Urea,28
28.71,7.11,146,76,106,Sandy loam,Beetroot,Vegetative,Urea,46
25.30,5.82,55,141,79,Loam,Rice,Germination,DAP,29
31.51,6.20,79,41,52,Sandy loam,Rice,Vegetative,Urea,36
26.51,6.12,159,76,144,Loam,Radish,Flowering,NPK 15-15-15,25
31.06,7.13,124,144,21,Loam,Radish,Flowering,NPK 15-15-15,31
25.65,6.64,90,97,68,Clay,Radish,Germination,DAP,18
27.12,6.59,64,62,109,Clay,Beetroot,Vegetative,Urea,47
33.65,6.82,53,122,46,Sandy loam,Rice,Vegetative,Urea,44
28.87,6.56,23,99,103,Sandy loam,Red onion,Vegetative,NPK 15-15-15,34
26.95,6.81,58,87,31,Loam,Beetroot,Vegetative,NPK 15-15-15,51
29.72,6.44,101,67,121,Clay,Rice,Vegetative,Urea,39
29.10,6.91,139,147,127,Sandy loam,Rice,Germination,NPK 15-15-15,28
25.98,6.53,71,150,36,Sandy loam,Radish,Flowering,NPK 15-15-15,33
24.65,6.46,49,103,115,Loam,Radish,Vegetative,Urea,23
28.73,7.25,55,54,138,Loam,Red onion,Germination,DAP,22
24.03,6.10,148,33,152,Sandy loam,Radish,Flowering,NPK 15-15-15,34
28.96,7.01,87,78,44,Clay,Red onion,Germination,DAP,24
27.40,6.58,118,73,60,Clay,Radish,Flowering,NPK 15-15-15,33
34.95,6.22,67,136,69,Clay,Beetroot,Germination,NPK 15-15-15,26
34.05,7.17,70,111,33,Loam,Rice,Germination,DAP,23
25.27,6.14,91,141,155,Sandy loam,Red onion,Flowering,Urea,27
32.32,6.96,98,132,53,Loam,Red onion,Germination,DAP,20
34.11,6.22,154,105,51,Sandy loam,Beetroot,Germination,NPK 15-15-15,30
